index,context,question,answer
140,"Napuljun Bonaparti, magħruf f'pajjiżu bħala Napoléon I (Ajaccio, 15 ta' Awwissu 1769 – Sant'Elena, 5 ta' Mejju 1821) kien ġeneral Franċiż matul ir-Rivoluzzjoni Franċiża, mexxej ta' Franza bħala Prim Konslu ta' l-Ewwel Repubblika Franċiża mill-11 ta' Novembru 1799 sat-18 ta' Mejju 1804, kien ukoll Imperatur tal-Franċiżi (Empereur des Français) u Re tal-Italja bħala Napoleon I mit-18 ta' Mejju 1804 sas-6 t' April 1814 u għal darb' oħra bejn l-20 ta' Marzu u t-22 ta' Ġunju 1815. Napuljun hu kkunsidrat bħala ġenju militari, hu magħruf li kkmanda u rebaħ ħafna kampanji famużi u ta' suċċess, iżda hu magħruf ukoll għal xi fallimenti spettakolari. Fi ftit iktar minn għaxar snin, akkwista l-kontroll ta' parti kbira mill-Ewropa tal-Punent u dik Ċentrali, b'konkwisti jew alleanzi, sakemm tilef il-Battalja tan-Nazzjonijiet viċin Leipzig f'Ottubru tal-1813, li wasslitu għall-abdikazzjoni u l-eżilju tiegħu ftit xhur wara. Hu kien eżiljat fil-gżira tal-Elba. Irnexxielu jerġa' jiġi lura mill-eżilju u għamel il-kampanja famuża tal-Mitt Jum (les Cent Jours), però tilef battalja deċiżiva f'Waterloo fil-Belġju fit-18 ta' Ġunju 1815, ftit wara ta' ruħu f'idejn l-Ingliżi, u spiċċa eżiljat fil-gżira ta' Sant Elena (gżira ċkejkna li tinstab mili 'l bogħod fin-naħa tal-Lvant ta' fejn illum hemm l-Angola, fl-Afrika), fejn miet.",Fejn ġie eżiljat Napuljun wara Waterloo?,fil-gżira ta' Sant Elena
141,"L-Unjoni Ewropea (abbrevjata bħala UE) hija unjoni politika u ekonomika ta' 27 stat membru li jinsabu prinċipalment fl-Ewropa. L-UE ġiet stabbilita taħt l-isem attwali permezz tat-Trattat ta' Maastricht tas-7 ta' Frar 1992 (li daħal fis-seħħ fl-1 ta' Novembru 1993), liema stati aderenti ġew miżjuda wara t-triq twila tal-Komunitajiet Ewropej li kienu jeżistu qabel.",Permezz ta' xiex ġiet stabilita l-Unjoni Ewropea?,permezz tat-Trattat ta' Maastricht
142,"L-organi prinċipali tal-UE jinvolvu lill-Kunsill (denominazzjoni li ħadet post dik tal-Kunsill tal-Ministri mid-dħul fis-seħħ tat-Trattat ta' Maastricht), il-Kummissjoni, il-Qorti tal-Ġustizzja, il-Parlament, il-Kunsill Ewropew u l-Bank Ċentrali Ewropew. Il-membri tal-Parlament Ewropew huma eletti kull ħames snin miċ-ċittadini Ewropej. Il-belt kapitali de facto tal-UE hija Brussell.",Kull kemm jsiru l-elezzjonijiet tal-Parlament Ewropew?,Il-membri tal-Parlament Ewropew huma eletti kull ħames snin
143,"In-Nazzjonaliżmu huwa idea u moviment li jsostni li n-nazzjon għandu jkun kongruwenti mal-istat. Bħala moviment, in-nazzjonaliżmu għandu t-tendenza li jippromwovi l-interessi ta’ nazzjon partikolari (bħal fi grupp ta’ nies), speċjalment bil-għan li jikseb u jżomm is-sovranità tan-nazzjon (awto-governanza) fuq art twelidu biex jinħoloq stat nazzjon. In-Nazzjonaliżmu jsostni li kull nazzjon għandu jiggverna lilu nnifsu, ħieles minn indħil minn barra (awtodeterminazzjoni), li nazzjon huwa bażi naturali u ideali għal politika, u li n-nazzjon huwa l-uniku sors ġust ta’ poter politiku. Barra minn hekk għandha l-għan li tibni u żżomm identità nazzjonali waħda, ibbażata fuq karatteristiċi soċjali kondiviżi ta’ kultura, etniċità, post ġeografiku, lingwa, politika (jew il-gvern), reliġjon, tradizzjonijiet u twemmin fi storja unika komuni, u biex tippromwovi l-għaqda jew is-solidarjetà nazzjonali. In-Nazzjonaliżmu, għalhekk, ifittex li jippreserva u jrawwem il-kultura tradizzjonali ta’ nazzjon. Hemm diversi definizzjonijiet ta’ “nazzjon”, li jwassal għal tipi differenti ta’ nazzjonaliżmu. Iż-żewġ forom diverġenti ewlenin huma nazzjonaliżmu etniku u nazzjonaliżmu ċiviku.",Xi jsostni n-Nazzjonaliżmu?,In-Nazzjonaliżmu jsostni li kull nazzjon għandu jiggverna lilu nnifsu
144,"Bħalma għamel Koperniku qablu, Galileo kien stqarr li x-xemx kienet iċ-ċentru tal-galassja u mhux id-dinja, il-Knisja Kattolika Rumana arrestatu u għedditu li tikkundanah għall-mewt fuq bażi ta' tixrid ta' ereżiji. Biex jevita l-piena, Galileo kellu jistqarr li dak li kien qed jgħid, kif ukoll it-tagħlim ta' Koperniku kien kollu gideb. Il-Knisja xorta ġiegħelitu jibqa' maqful ġo daru sakemm miet.",Għaliex ġie arrestat Galileo?,Galileo kien stqarr li x-xemx kienet iċ-ċentru tal-galassja u mhux id-dinja
145,"Ir-Repubblika l-Iktar Serena ta' San Marino (en-us-San Marino.ogg /ˌsæn məˈriːnoʊ/ (għajnuna·info); bit-Taljan: Serenissima Repubblica di San Marino) hi pajjiż fil-Muntanji Apennini. Dan il-pajjiż m'għandu l-ebda żbokk ta' baħar u jinsab totalment interkjuż mill-Italja. Bħala wieħed mill-mikrostati Ewropej, San Marino għandu l-iżgħar popolazzjoni mill-membri kollha tal-Kunsill tal-Ewropa. San Marino hu l-eqdem stat sovran u repubblika kostituzzjonali fid-dinja. L-istat ġie stabbilit fit-3 ta' Settembru 301 grazzi għan-naġġar Marinu minn Rab, li kienet kolonja Rumana, li mar l-Italja fil-257 W.K. meta l-Imperatur Dijoklezjanu ħareġ digriet li kien jgħid li kellhom jerġgħu jinbnew is-swar tal-belt ta' Rimini li kienu twaqqgħu mill-pirati Liburni. Il-Kostituzzjoni ta' San Marino, li daħlet fis-seħħ fl-1600, hi l-eqdem kostituzzjoni fid-dinja li għadha fis-seħħ.",Liem hi l-eqdem Kostituzzjoni fid-dinja?,Il-Kostituzzjoni ta' San Marino
146,"Il-Bundesliga huwa kampjonat professjonali tal-futbol fil-Ġermanja. Fil-ġerarkija tal-futbol Ġermaniż dan huwa l-ogħla livell. Il-kampjonat jintlagħab minn tmintax-il tim abbażi ta' sistema ta' promozzjoni u relegazzjoni mas-2. Bundesliga. Mill-fundazzjoni tagħha, total ta' 50 klabb ikkompetew f'din id-diviżjoni. Mis-snin sebgħin, it-tim ta' Bayern Munich iddominaw għal diversi drabi r-rebħ tal-kampjonat, hekk kif rebħhuh għal 22 darba. Madanakollu, il-Bundesliga rat ukoll ċampjins oħra bħal Hamburger SV, Borussia Dortmund, Werder Bremen, Borussia Mönchengladbach u VfB Stuttgart fost l-ismijiet prominenti.",Kemm il-tim jikkompeti fil-Bundesliga?,Il-kampjonat jintlagħab minn tmintax-il tim
147,"Ir-Romantiċiżmu kien moviment artistiku, letterarju, intellettwali u li ġie żviluppat fil-Ġermanja fit-tmiem tas-seklu tmintax u mbagħad nfirex madwar l-Ewropa. Ir-Romantiċiżmu kiseb qawwa matul ir-Rivoluzzjoni Industrijali. Ir-Romantiċiżmu kienet dik ir-reazzjoni fejn l-idejat kienu kontra l-Illuminiżmu u li fosthom kienu jiġu minn filosfi tas-seklu tmintax.",Fejn beda r-Romantiċiżmu?,fil-Ġermanja
148,"In-Numru Internazzjonali Standard tal-Kotba (ISBN) huwa identifikatur kummerċjali numeriku tal-kotba li hu maħsub li jkun uniku. Il-pubblikaturi jixtru l-ISBNs minn entità affiljata tal-Aġenzija Internazzjonali tal-ISBN. ISBN jiġi assenjat lil kull edizzjoni separata u lil kull varjazzjoni (għajr stampar mill-ġdid) ta’ pubblikazzjoni. Pereżempju, edizzjoni ta’ ktieb elettroniku, ta’ ktieb b’qoxra ratba u ta’ ktieb b’qoxra iebsa tal-istess ktieb ikollha ISBN differenti għal kull format. L-ISBN ikun fih għaxar ċifri jekk ġie assenjat qabel l-2007, u tlettax-il ċifra jekk ġie assenjat fl-1 ta’ Jannar 2007 jew wara. Il-metodu tal-assenjar ta’ ISBN ivarja skont il-pajjiż u huwa speċifiku għal kull pajjiż; spiss jiddependi kemm tkun kbira l-industrija tal-pubblikazzjoni fi ħdan pajjiż.",Xi tfisser ISBN?,Numru Internazzjonali Standard tal-Kotba
149,"In-Numru Internazzjonali Standard tal-Kotba (ISBN) huwa identifikatur kummerċjali numeriku tal-kotba li hu maħsub li jkun uniku. Il-pubblikaturi jixtru l-ISBNs minn entità affiljata tal-Aġenzija Internazzjonali tal-ISBN. ISBN jiġi assenjat lil kull edizzjoni separata u lil kull varjazzjoni (għajr stampar mill-ġdid) ta’ pubblikazzjoni. Pereżempju, edizzjoni ta’ ktieb elettroniku, ta’ ktieb b’qoxra ratba u ta’ ktieb b’qoxra iebsa tal-istess ktieb ikollha ISBN differenti għal kull format. L-ISBN ikun fih għaxar ċifri jekk ġie assenjat qabel l-2007, u tlettax-il ċifra jekk ġie assenjat fl-1 ta’ Jannar 2007 jew wara. Il-metodu tal-assenjar ta’ ISBN ivarja skont il-pajjiż u huwa speċifiku għal kull pajjiż; spiss jiddependi kemm tkun kbira l-industrija tal-pubblikazzjoni fi ħdan pajjiż.",Min jbiegħ l-ISBN?,Il-pubblikaturi jixtru l-ISBNs minn entità affiljata tal-Aġenzija Internazzjonali tal-ISBN
150,"Il-Moviment Olimpiku juża simboli li jirrapreżentaw l-ideali tal-Karta Olimpika. Is-simbolu Olimpiku, magħruf aħjar bħala ċ-ċrieki Olimpiċi, jikkonsisti minn ħafna ċrieki minsuġa ma' xulxin li jfissru l-għaqda tal-ħames kontinenti fid-dinja (l-Afrika, l-Amerika, l-Asja, l-Awstralja u l-Ewropa). Il-verżjoni kulurita taċ-ċrieki (blu, isfar, aħdar u aħmar) fuq sfond abjad jifforma l-bandiera Olimpika. Dawn il-kuluri ġew magħżula minħabba li kull pajjiż kellu wieħed minn dawn il-kuluri fil-bandiera tiegħu. Il-bandiera ġiet adottata fl-1914 però ġiet imtajjra biss fl-Olimpjadi tas-sajf tal-1920 f'Antwerp, il-Belġju.",Xi jfissru ċ-ċrieki Olimpiċi?,l-għaqda tal-ħames kontinenti fid-dinja
151,"Ir-Renju Unit huwa magħmul minn monarkija kostituzzjonali bir-Re Karlu III bħala kap tal-istat. Il-Monarkija tar-Renju Unit isservi wkoll bħala l-Kap tal-istat tal- ħmistax-il pajjiż l-oħra tal-Commonwealth, u b'hekk toħloq unjoni personali ma' dawn in-nazzjonijiet. Il-Kuruna għandha sovranità fuq Gżira ta' Man u l-Balliji ta' Jersey u Guernsey. Flimkien dawn it-tliet territorji jissejħu d-dependenza fuq il-kuruna però għalkemm huma propjeta tal-monarkija Brittanika xorta waħda m'humiex parti mir-Renju Unit u b'hekk m'humiex parti mill-Unjoni Ewropea. Il-Parlament tar-Renju Unit xorta waħda għandu l-awtorità li jagħmel liġijiet għal dawn id-dependenzi, u l-gvern Brittanniku jmexxi l-affarijiet barranin u d-difiża ta' dawn il-pajjiżi.",Kemm il-stat jagħrfu l-monarka bħala kap tal-istat?,ħmistax-il pajjiż l-oħra tal-Commonwealth
152,"Il-Knisja tal-Ingilterra, li nfirdet minn Ruma fl-1534 (ara Reforma Inġliża) hija, illum, il-Knisja 'stabbilita' tal-Ingilterra u parti integrali mill-Komunità Anglikana. Il-Monarka Brittanniku jrid ikun membru tal-Knisja tal-Ingilterra taħt l-Att tal-Stabbiliment 1701 u hu l-Gvernatur Suprem tagħha. L-Arċisqof ta' Canterbury huwa l-għola isqof tal-knisja. L-influwenza diretta tal-Knisja tal-Ingilterra naqset ħafna matul dawn l-aħħar snin, però għandha rappreżentazzjoni fil-Parlament tar-Renju Unit u d-dritt li tipproponi leġiżlatura (ġeneralment fl-amministrazzjoni li għandha x'jaqsam mar-reliġjon), permezz tas-Sinodu Ġenerali, li tista' ssir liġi, iżda mhux irreveduta mill-Parlament.",Min jiggverna l-Knisja tal-Ingilterra?,Il-Monarka Brittanniku
153,"Il-Protestantiżmu huwa forma ta’ Kristjaneżmu li oriġina mir-Riforma Protestanta tas-seklu 16, moviment kontra dak li s-segwaċi tiegħu ħassew li huma żbalji fil-Knisja Kattolika. Protestanti li joriġinaw fir-Riforma jirrifjutaw id-duttrina Kattolika Rumana tas-supremazija papali, iżda ma jaqblux bejniethom dwar in-numru ta’ sagramenti, il-preżenza reali ta’ Kristu fl-Ewkaristija, u kwistjonijiet ta’ politika ekkleżjastika u suċċessjoni appostolika. Huma jenfasizzaw is-saċerdozju ta’ dawk kollha li jemmnu; ġustifikazzjoni bil-fidi biss (sola fide) aktar milli bil-fidi bl-opri tajba; it-tagħlim li s-salvazzjoni tiġi bil-grazzja divina jew ""favur mhux mistħoqq"" biss, mhux bħala xi ħaġa mistħoqqa (sola gratia); u jew jaffermaw il-Bibbja bħala l-unika awtorità ogħla (sola scriptura ""Iskrittura biss"") jew awtorità primarja (prima scriptura ""Iskrittura l-ewwel"") għad-duttrina Nisranija, aktar milli tkun fuq l-ugwaljanza mat-tradizzjoni sagra. Il-ħames solae tal-Kristjaneżmu Luteran u Riformat jiġbru fil-qosor id-differenzi teoloġiċi bażiċi fl-oppożizzjoni għall-Knisja Kattolika",Fuqiex ma jaqblux l-Kattoliċi u l-Protestanti?,Protestanti li joriġinaw fir-Riforma jirrifjutaw id-duttrina Kattolika Rumana tas-supremazija papali
154,"Instagram (komunement imqassar għal IG jew Insta) huwa servizz ta' networking soċjali Amerikan li jaqsam ir-ritratti u l-filmati u huwa proprjetà ta' Facebook. Is-servizz ġie maħluq minn Kevin Systrom u Mike Krieger u oriġinarjament ġie mniedi fuq iOS f'Ottubru 2010. Il-verżjoni Android ġiet rilaxxata f'April 2012, segwita minn interfaċċa tad-desktop limitata għall-karatteristiċi f'Novembru 2012, app għall-Fire OS f'Ġunju 2014, u app għall-Windows 10 f'Ottubru 2016. L-app tippermetti lill-utenti jtellgħu midja li tista' tiġi editjata b'filtri u organizzata b'hashtags u b’markaturi ġeografiċi. Il-midja li tittella' tinqasam pubblikament jew ma' segwaċi approvati minn qabel. L-utenti jistgħu jibbrawżjaw il-kontenut ta' utenti oħra bit-tags u l-postijiet u jaraw l-iktar kontenut popolari. L-utenti jistgħu juru li ritratt ikun għoġobhom u jistgħu jsegwu utenti oħra biex malli jżidu l-kontenut tagħhom jiġu infurmati. Din il-funzjoni jidher li twaqqfet minn Settembru 2020. Tista' saħansitra tħallas apposta biex tixtri għadd ta' segwaċi ta' Instagram biex issaħħaħ in-negozju tiegħek.",Għaliex jintuża Instagram?,jaqsam ir-ritratti u l-filmati
155,"Instagram (komunement imqassar għal IG jew Insta) huwa servizz ta' networking soċjali Amerikan li jaqsam ir-ritratti u l-filmati u huwa proprjetà ta' Facebook. Is-servizz ġie maħluq minn Kevin Systrom u Mike Krieger u oriġinarjament ġie mniedi fuq iOS f'Ottubru 2010. Il-verżjoni Android ġiet rilaxxata f'April 2012, segwita minn interfaċċa tad-desktop limitata għall-karatteristiċi f'Novembru 2012, app għall-Fire OS f'Ġunju 2014, u app għall-Windows 10 f'Ottubru 2016. L-app tippermetti lill-utenti jtellgħu midja li tista' tiġi editjata b'filtri u organizzata b'hashtags u b’markaturi ġeografiċi. Il-midja li tittella' tinqasam pubblikament jew ma' segwaċi approvati minn qabel. L-utenti jistgħu jibbrawżjaw il-kontenut ta' utenti oħra bit-tags u l-postijiet u jaraw l-iktar kontenut popolari. L-utenti jistgħu juru li ritratt ikun għoġobhom u jistgħu jsegwu utenti oħra biex malli jżidu l-kontenut tagħhom jiġu infurmati. Din il-funzjoni jidher li twaqqfet minn Settembru 2020. Tista' saħansitra tħallas apposta biex tixtri għadd ta' segwaċi ta' Instagram biex issaħħaħ in-negozju tiegħek.",Min hu l-propjetarju ta' Instagram?,huwa proprjetà ta' Facebook
156,"Instagram (komunement imqassar għal IG jew Insta) huwa servizz ta' networking soċjali Amerikan li jaqsam ir-ritratti u l-filmati u huwa proprjetà ta' Facebook. Is-servizz ġie maħluq minn Kevin Systrom u Mike Krieger u oriġinarjament ġie mniedi fuq iOS f'Ottubru 2010. Il-verżjoni Android ġiet rilaxxata f'April 2012, segwita minn interfaċċa tad-desktop limitata għall-karatteristiċi f'Novembru 2012, app għall-Fire OS f'Ġunju 2014, u app għall-Windows 10 f'Ottubru 2016. L-app tippermetti lill-utenti jtellgħu midja li tista' tiġi editjata b'filtri u organizzata b'hashtags u b’markaturi ġeografiċi. Il-midja li tittella' tinqasam pubblikament jew ma' segwaċi approvati minn qabel. L-utenti jistgħu jibbrawżjaw il-kontenut ta' utenti oħra bit-tags u l-postijiet u jaraw l-iktar kontenut popolari. L-utenti jistgħu juru li ritratt ikun għoġobhom u jistgħu jsegwu utenti oħra biex malli jżidu l-kontenut tagħhom jiġu infurmati. Din il-funzjoni jidher li twaqqfet minn Settembru 2020. Tista' saħansitra tħallas apposta biex tixtri għadd ta' segwaċi ta' Instagram biex issaħħaħ in-negozju tiegħek.",Kif jista jedtija u jiffiltra l-midja li wieħed jtella fuq Instagram?,L-app tippermetti lill-utenti jtellgħu midja li tista' tiġi editjata b'filtri u organizzata b'hashtags u b’markaturi ġeografiċi.
157,"Instagram (komunement imqassar għal IG jew Insta) huwa servizz ta' networking soċjali Amerikan li jaqsam ir-ritratti u l-filmati u huwa proprjetà ta' Facebook. Is-servizz ġie maħluq minn Kevin Systrom u Mike Krieger u oriġinarjament ġie mniedi fuq iOS f'Ottubru 2010. Il-verżjoni Android ġiet rilaxxata f'April 2012, segwita minn interfaċċa tad-desktop limitata għall-karatteristiċi f'Novembru 2012, app għall-Fire OS f'Ġunju 2014, u app għall-Windows 10 f'Ottubru 2016. L-app tippermetti lill-utenti jtellgħu midja li tista' tiġi editjata b'filtri u organizzata b'hashtags u b’markaturi ġeografiċi. Il-midja li tittella' tinqasam pubblikament jew ma' segwaċi approvati minn qabel. L-utenti jistgħu jibbrawżjaw il-kontenut ta' utenti oħra bit-tags u l-postijiet u jaraw l-iktar kontenut popolari. L-utenti jistgħu juru li ritratt ikun għoġobhom u jistgħu jsegwu utenti oħra biex malli jżidu l-kontenut tagħhom jiġu infurmati. Din il-funzjoni jidher li twaqqfet minn Settembru 2020. Tista' saħansitra tħallas apposta biex tixtri għadd ta' segwaċi ta' Instagram biex issaħħaħ in-negozju tiegħek.",Min ivvinta Instagram?,Kevin Systrom u Mike Krieger
158,"Instagram (komunement imqassar għal IG jew Insta) huwa servizz ta' networking soċjali Amerikan li jaqsam ir-ritratti u l-filmati u huwa proprjetà ta' Facebook. Is-servizz ġie maħluq minn Kevin Systrom u Mike Krieger u oriġinarjament ġie mniedi fuq iOS f'Ottubru 2010. Il-verżjoni Android ġiet rilaxxata f'April 2012, segwita minn interfaċċa tad-desktop limitata għall-karatteristiċi f'Novembru 2012, app għall-Fire OS f'Ġunju 2014, u app għall-Windows 10 f'Ottubru 2016. L-app tippermetti lill-utenti jtellgħu midja li tista' tiġi editjata b'filtri u organizzata b'hashtags u b’markaturi ġeografiċi. Il-midja li tittella' tinqasam pubblikament jew ma' segwaċi approvati minn qabel. L-utenti jistgħu jibbrawżjaw il-kontenut ta' utenti oħra bit-tags u l-postijiet u jaraw l-iktar kontenut popolari. L-utenti jistgħu juru li ritratt ikun għoġobhom u jistgħu jsegwu utenti oħra biex malli jżidu l-kontenut tagħhom jiġu infurmati. Din il-funzjoni jidher li twaqqfet minn Settembru 2020. Tista' saħansitra tħallas apposta biex tixtri għadd ta' segwaċi ta' Instagram biex issaħħaħ in-negozju tiegħek.",Għaliex tista tħallas fuq Instagram?,biex tixtri għadd ta' segwaċi
159,"Facebook huwa sit elettroniku li jipprovdi servizz ta' midja soċjali mmexxi minn kumpanija bbażata f'Menlo Park, California. Is-sit tnieda fl-4 ta' Frar 2004 minn Mark Zuckerberg flimkien ma' sħabu fl-Università ta' Harvard. F'dan is-sit, l-utenti jistgħu jirreġistraw, joħolqu profil personali tagħhom, iżidu utenti oħra bħala ""ħbieb"" u jaqsmu magħhom messaġġi, ritratti, vidjows u ħoloq. L-utenti jistgħu wkoll jissieħbu f'paġni ta' interess u gruppi.",Liem Università kienu jattendu Mark Zuckerberg u sħabu?,Università ta' Harvard
160,"Ix-xogħol tad-difensur ċentrali jew stopper hu li jwaqqaf il-plejers tat-tim oppost, partikularment lill-attakkanti, milli jiskurjaw, u jevitaw li l-ballun jidħol fil-kaxxa tal-penalty. Kif l-isem tagħhom stess jissuġġerixxi, huma jilgħabu f'pożizzjoni ċentrali. Ħafna timijiet jużaw żewġ difensuri ċentrali, li jkunu quddiem il-gowler. Hemm żewġ strateġiji difensivi wżati minn difensuri ċentrali: id-difiża ta' żona, fejn id-difensur ċentrali jżomm erja speċifika tal-grawnd, u d-difiża ta' plejer, fejn kull difensur ċentrali jieħu l-inkarigu li jżomm plejer partikulari ta' l-opponenti.",Fejn jilgħab id-difensur ċentrali?,quddiem il-gowler
161,"Fil-futbol, il-gowler jokkupa pożizzjoni li tirrapreżenta l-aħħar linja difensiva bejn l-attakk tat-tim avversarju u l-lasta tat-tim tiegħu. L-irwol primarju tal-gowler hu li jiddefendi l-lasta tat-tim tiegħu u jevita li l-oppożizzjoni tiskorja. Il-gowler huwa l-uniku plejer li għandu permess li jmiss il-ballun b'idejh waqt il-logħba. Madanakollu dan jista' jsir biss fil-kaxxa tal-''penalty''. Kull tim għandu bżonn li jkollu gowler fil-grawnd il-ħin kollu matul il-partita. Jekk gowler ikun imġiegħel li jħalli l-grawnd minħabba li jew ikun weġġa' jew kien imkeċċi, plejer ieħor irid jieħu l-pożizzjoni tiegħu, anki jekk it-tim ma jkollux gowler bħala sostitut u/jew ikunu wżaw is-sostituzzjonijiet kollha.",X' jagħmel il-gowler uniku?,Il-gowler huwa l-uniku plejer li għandu permess li jmiss il-ballun b'idejh waqt il-logħba.
162,"Fil-futbol, il-gowler jokkupa pożizzjoni li tirrapreżenta l-aħħar linja difensiva bejn l-attakk tat-tim avversarju u l-lasta tat-tim tiegħu. L-irwol primarju tal-gowler hu li jiddefendi l-lasta tat-tim tiegħu u jevita li l-oppożizzjoni tiskorja. Il-gowler huwa l-uniku plejer li għandu permess li jmiss il-ballun b'idejh waqt il-logħba. Madanakollu dan jista' jsir biss fil-kaxxa tal-''penalty''. Kull tim għandu bżonn li jkollu gowler fil-grawnd il-ħin kollu matul il-partita. Jekk gowler ikun imġiegħel li jħalli l-grawnd minħabba li jew ikun weġġa' jew kien imkeċċi, plejer ieħor irid jieħu l-pożizzjoni tiegħu, anki jekk it-tim ma jkollux gowler bħala sostitut u/jew ikunu wżaw is-sostituzzjonijiet kollha.",Jista tim jilgħab bla gowler?,Kull tim għandu bżonn li jkollu gowler fil-grawnd il-ħin kollu matul il-partita
